,Unnamed: 0,fighter_name,id
623,624,Darren Stewart,a17ad5a5048e8c3f
2757,2758,Darren Till,9ce6d5a03af801b7
7900,7901,Darren Uyenoyama,6546af7ab545b90c
989,990,Darrick Minner,34e516ab361afb1c
9549,9550,Darrill Schoonover,5a558ba1ff5e9121
6257,6258,Dashon Johnson,36207c58e854cae5
11953,11954,Dave Beneteau,9fd1f08dd4aec14a
11851,11852,Dave Berry,b3bbe88fecd6a0d2
6949,6950,Dave Galera,0876d21328cf4a45
8149,8150,Dave Herman,cbd6f1abf955e628
11421,11422,Dave Menne,275cafc9de131c83
11298,11299,Dave Strasser,980b4e712489098e
4272,4273,Davey Grant,113df4fde64735c6
2346,2347,Davi Ramos,0052de90691d4a93
11746,11747,David Abbott,b361180739bed4b0
10063,10064,David Baron,80c0bed43da0e27b
10058,10059,David Bielkheden,1efa064872f089d0
9259,9260,David Branch,d2c55d1d2e67773b
11559,11560,David Dodd,c2a7623f398d9bd7
505,506,David Dvorak,9ada30894bf04e19
10487,10488,David Heath,4f95f74620a6b7a4
11939,11940,David Hood,5af480a3b2e1726b
9799,9800,David Kaplan,5669b828e7e11329
10595,10596,David Lee,8caca5857ce0e30b
12041,12042,David Levicki,49590e0508b2c19f
11110,11111,David Loiseau,22e47b53e4ceb27c
5673,5674,David Michaud,49f4b511932f71e9
7179,7180,David Mitchell,8f3df4c579cfbb69
11653,11654,David Roberts,775bad6d700d2302
11155,11156,David Terrell,4123fd4dcc1fe937
3885,3886,David Teymur,2747c60e42d9d75f
11593,11594,David Velasquez,09c44b317c98bf96
2289,2290,David Zawada,3bb2dc8e87b10a46
3206,3207,DeAnna Bennett,404ecb2700844072
10362,10363,Dean Lister,68c6cd5287b473a7
3338,3339,Deiveson Figueiredo,aa72b0f831d0bfe5
8066,8067,Delson Heleno,970beed85bc46b63
8100,8101,Demetrious Johnson,8a304bfd6bf04a57
9351,9352,Demian Maia,427b5953ac8e3a27
9812,9813,Denis Kang,3c241737a6069b9f
9889,9890,Denis Stojnic,a421465acbe59c77
7628,7629,Dennis Bermudez,6f242453c91a5af0
