,fighter_name,id
558,Hunter Azure,2af2f2e26c4c0402
559,Anthony Smith,d4c9dcd330403612
560,Aleksandar Rakic,333b9e5c723ac873
561,Robbie Lawler,f2925e6db404bf1d
562,Neil Magny,84b3e7d38f2d2ec5
563,Ji Yeon Kim,a20f234df70f2182
564,Alexa Grasso,e8b731feff72294b
565,Ricardo Lamas,3974fa35c917af1d
566,Bill Algeo,9abc648e76c4493a
567,Maki Pitolo,c549573c0df4d676
568,Impa Kasanganay,257b0c8d6f199895
569,Alessio Di Chirico,77d7295d1b22c694
570,Zak Cummings,4ba8d454f762005d
571,Alex Caceres,7aa3d6964eff4877
572,Austin Springer,37cc294027f55e4d
573,Sean Brady,45f7cb591c3ab00b
574,Christian Aguilera,ae071698e1a3ccd4
575,Polyana Viana,9673a497a9da119a
576,Emily Whitmire,b3d21b2610dcfaeb
577,Mallory Martin,19b7738321cfae42
578,Hannah Cifers,2244d9a2b64b8c3b
579,Pedro Munhoz,6bd02119599741a4
580,Frankie Edgar,f2688492b9a525a3
581,Marcin Prachnio,6370c1c1e12723d5
582,Mike Rodriguez,18b602842a24f7c5
583,Austin Hubbard,d2cd7a69cc55e7ed
584,Joe Solecki,af65aa688d13eedf
585,Mariya Agapova,a08ddd04eaffd81d
586,Shana Dobson,122ac9b816d8b71c
587,Daniel Rodriguez,8a1f3b5c526cd6e6
588,Dwight Grant,8be158ca1e5ea6a0
589,Amanda Lemos,3df5493bb279226f
590,Inoue Mizuki,43a59ce3bb40449e
591,Ike Villanueva,f9d0cae37dabfafc
592,Jordan Wright,c878270af633eb11
593,Carlton Minus,40d8b74488743800
594,Matthew Semelsberger,4aa58269d0664b5b
595,Timur Valiev,45e738622ea2c02c
596,Trevin Jones,ec23c1be628d8057
597,Stipe Miocic,d28dee5c705991df
598,Daniel Cormier,d967f0128c323de6
599,Sean O'Malley,b50a426a33da0012
600,Marlon Vera,7c7332319c14094c
601,Junior Dos Santos,63def5a5662a6917
602,Jairzinho Rozenstruik,2cd428e9606856fd
603,Herbert Burns,4f140403000158b5
604,Daniel Pineda,361d49960a196976
605,John Dodson,99506df1af6c8b3b
606,Merab Dvalishvili,c03520b5c88ed6b4
607,Jim Miller,d1941565abf50b16
608,Vinc Pichel,c77a953488e5607d
609,Felice Herrig,b6850671a008bf9a
610,Virna Jandiroba,7dda2cf308f24a02
611,TJ Brown,d31cbcdd7d69536d
612,Danny Chavez,0de720c0f1d4ab9c
613,Ashley Yoder,b4c6c904a9ffc5e8
614,Livinha Souza,dab8cfbb6b1db10a
615,Chris Daukaus,d0aaedcf7ccd0b45
616,Parker Porter,ac40f7e3cbecdda4
617,Kai Kamaka,eee0ef3e2b14816b
