,event_id,event_name
351,4985113c0928aa62,UFC 146: Dos Santos vs Mir
352,8caca5857ce0e30b,UFC on FUEL TV: Korean Zombie vs Poirier
353,5898357a45a73674,UFC on FOX: Diaz vs Miller
354,155bfc7ed36622df,UFC 145: Jones vs Evans
355,21f2974fd08085e3,UFC on FUEL TV: Gustafsson vs Silva
356,b5ea750025697880,UFC on FX: Alves vs Kampmann
357,8377c5572cb356f3,UFC 144: Edgar vs Henderson
358,0a97691039c4bbfb,UFC on FUEL TV: Sanchez vs Ellenberger
359,df2cf66d8c0123db,UFC 143: Diaz vs Condit
360,c3c23c99477c041b,UFC on FOX: Evans vs Davis
361,4d74641fac830182,UFC on FX: Guillard vs Miller
362,18524b46c570730b,UFC 142: Aldo vs Mendes
363,91720876db0ee468,UFC 141: Lesnar vs Overeem
364,6d7886b094b471ac,UFC 140: Jones vs Machida
365,1f5f75658551f2d3,The Ultimate Fighter: Team Bisping vs Team Miller Finale
366,0ec821423baa26bd,UFC 139: Shogun vs Henderson
367,1c061eb6e29eaa0a,UFC on FOX: Velasquez vs Dos Santos
368,e780ccc79a209985,UFC 138: Leben vs Munoz
369,8788beb528894f33,UFC 137: Penn vs Diaz
370,7d5b12de1625984e,UFC 136: Edgar vs Maynard 3
371,44f9c777fed7ca03,UFC Live: Cruz vs Johnson
372,73ef22f25d0f70e2,UFC 135: Jones vs Rampage
373,1ffc38f67785797b,UFC Fight Night: Shields vs Ellenberger
374,18968f97ad34f15c,UFC 134: Silva vs Okami
375,4c8d6fde2dde07c4,UFC Live: Hardy vs Lytle
376,f1f9e48a0d150757,UFC 133: Evans vs Ortiz 2
377,83fd97284f4bb4a4,UFC 132: Cruz vs Faber
378,d023ae89a2a4a41e,UFC Live: Kongo vs Barry
379,aac5ac38148f0528,UFC 131: Dos Santos vs Carwin
380,3ba3b5cc94498437,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale
381,b732b326c362fb62,UFC 130: Rampage vs Hamill
382,2db7fa8db6bc9632,UFC 129: St-Pierre vs Shields
383,8a59d346dc976a10,UFC Fight Night: Nogueira vs Davis
384,1411c630ba711b64,UFC 128: Shogun vs Jones
385,a54fc2d6fc224dc3,UFC Live: Sanchez vs Kampmann
386,88a9bc81271ccd89,UFC 127: Penn vs Fitch
387,65ddc8a9ac4e8531,UFC 126: Silva vs Belfort
388,282fa667ff9c51ed,UFC Fight Night: Fight for the Troops 2
389,d1152823307d7e7c,UFC 125: Resolution
390,132f860d02953f4c,UFC 124: St-Pierre vs Koscheck 2
391,5d7bdab5e03e3216,The Ultimate Fighter: Team GSP vs Team Koscheck Finale
392,dd992d569aaebee6,UFC 123: Rampage vs Machida
393,0ff11cc094e887bc,UFC 122: Marquardt vs Okami
394,afdb76fbd86f6d11,UFC 121: Lesnar vs Velasquez
395,d512d9f204059f57,UFC 120: Bisping vs Akiyama
396,ad32471f01e7b1a5,UFC 119: Mir vs Cro Cop
397,acff437707625fc7,UFC Fight Night: Marquardt vs Palhares
398,054defd5420a551f,UFC 118: Edgar vs Penn 2
399,2f3f12002564bb55,UFC 117: Silva vs Sonnen
400,f12f979b657ab876,UFC Live: Jones vs Matyushenko
401,140745cbbcb023ac,UFC 116: Lesnar vs Carwin
402,9bcf8603ceb25680,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
403,cfb65863d5099327,UFC 115: Liddell vs Franklin
404,bfc2fc38a0e20211,UFC 114: Rampage vs Evans
405,d0c29452d3272603,UFC 113: Machida vs Shogun 2
406,24b033b3daf1c9df,UFC 112: Invincible
407,3ed134d85dfbd7b4,UFC Fight Night: Florian vs Gomi
408,c80095f6092271a7,UFC 111: St-Pierre vs Hardy
409,3795fca327cbcf23,UFC Live: Vera vs Jones
410,49efbdc6c9f650c4,UFC 110: Nogueira vs Velasquez
411,15edcf67ccf5be84,UFC 109: Relentless
412,58bc81376286b3d3,UFC Fight Night: Maynard vs Diaz
413,a6d8bfe9e0c8153b,UFC 108: Evans vs Silva
